UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	4
0	1
0	0
0	0
1	44
0	86
10	140
0	20
0	82
1	0
2	22
0	65
0	23
0	65
109	132
0	65
0	58
0	26
0	19
1	92
0	43
7	16
25	495
0	485
0	27
0	0
0	3
0	3
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	197
5	285
2	45
1	193
0	20
0	3
0	252
0	71
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	11
9	8
0	2
0	6
4	282
0	7
0	1
0	111
0	256
0	34
1	117
3	1
0	34
0	1
0	12
0	39
1	0
0	44
0	0
0	0
0	0
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	35
0	0
0	0
0	0
0	0
39	193
2	24
0	0
0	129
0	2
0	39
9	0
0	10
1	178
0	178
0	143
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	33
0	1
0	0
0	0
0	0
0	0
0	0
0	25
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
153	1
0	10
0	10
0	0
0	0
0	8
0	0
0	0
0	494
0	0
0	0
0	0
0	0
0	0
69	59
3	59
0	12
5	6
0	20
303	24
0	24
0	9
1	0
0	0
0	0
1	0
0	0
1	48
0	46
0	48
0	0
0	36
0	40
0	0
0	0
0	48
0	2
0	5
0	41
2	5
3	5
0	0
0	0
0	0
1	0
0	0
0	0
1	35
5	16
0	12
0	27
4	28
0	0
2	20
0	19
0	1
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
22	373
0	205
0	242
0	141
10	210
0	109
3	39
0	1
0	0
26	110
2	2
0	2
0	17
0	1
0	17
1	15
0	2
0	17
0	1
0	1
0	93
0	5
0	0
13	2
1	9
0	7
0	5
0	5
0	0
0	3
0	23
1	1
0	5
0	0
0	23
169	228
0	36
0	17
4	27
0	0
0	0
0	148
0	0
0	4
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
3	5
0	1
0	3
0	0
0	0
1	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
